feature,weight_or_importance
watch_time_minutes,59.687260043918904
likes,8.42083979310377
comments,2.070614422904698
views,0.6291865326982159
engagement_rate,0.2598387222925712
device_TV,-0.11077693489925389
device_Desktop,0.10789266444396017
category_Gaming,-0.05560647712771438
country_CA,0.03721401319409186
country_IN,0.033904894297299766
video_length_minutes,0.03328134408691435
country_DE,-0.028150054102898343
device_Tablet,0.021694833445063854
country_UK,-0.017938579161830122
category_Entertainment,0.011485294487812625
category_Music,-0.010437734945749108
subscribers,0.009207229388624385
country_AU,0.0
country_US,-0.0
category_Lifestyle,-0.0
category_Tech,0.0
device_Mobile,-0.0
category_Education,0.0
